date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:08	74436/74436	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Mar%202018%2004:07:38%20GMT	http://trimatrixlab.com/store/flatrica/index-dark.html	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/index-dark.html	(from )
19:54:09	67/67	---MC-	200	added ('OK')	text/plain	date:Mon,%2018%20Nov%202019%2018:54:09%20GMT	http://trimatrixlab.com/robots.txt		(from )
19:54:10	923/923	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/site/fav-icon.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/site/fav-icon.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:12	25199/25199	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/site/apple-touch-icon.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/site/apple-touch-icon.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:12	30105/30105	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/vendors/font-awesome.min.css	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/vendors/font-awesome.min.css	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:14	53543/53543	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/vendors/animate.min.css	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/vendors/animate.min.css	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:15	5337/5337	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/vendors/magnific-popup.css	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/vendors/magnific-popup.css	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:16	17216/17216	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/vendors/swiper.min.css	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/vendors/swiper.min.css	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:18	127070/127070	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/vendors/materialize.css	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/vendors/materialize.css	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:20	123435/123435	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/vendors/bootstrap.min.css	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/vendors/bootstrap.min.css	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
